Disease,Precautions
Fungal Infection,"Keep affected area dry, avoid sharing personal items."
Diabetes,"Monitor blood sugar, maintain weight, foot care."
Cancer,"Avoid infections, monitor treatment side effects."
Dementia,"Safety at home, mental stimulation, regular checkups."
Stroke,"Monitor BP, avoid smoking/alcohol, prevent falls."
Dengue,"Avoid mosquito bites, monitor platelet count."
Dysentery,"Hand hygiene, safe water/food."
Chickenpox,"Avoid scratching, isolate from others."
Constipation,"Maintain hydration, avoid straining."
Conjunctivitis,"Avoid touching eyes, hygiene."
Smallpox,"Vaccination, avoid exposure."
Ringworm,"Keep skin dry, avoid sharing personal items."
Arthritis,"Avoid joint overuse, maintain weight."
Cholera,"Hand hygiene, safe water and food."
Pneumonia,"Avoid smoking, vaccination, hygiene."
Malaria,"Mosquito prevention, bed nets, insect repellents."
Heart Attack,"Avoid smoking, monitor cholesterol, control BP and diabetes."
Deafness,"Avoid loud noises, regular ear checkups."
Parkinsons,"Fall prevention, medication adherence."
Glaucoma,"Regular eye checkups, avoid activities increasing eye pressure."
Cataract,"Protect eyes from UV light, regular eye checkups."
Beriberi,"Maintain balanced diet, avoid alcohol."
Rickets,"Sun exposure, monitor growth in children."
Rabies,"Avoid animal bites, vaccinate pets."
Swine Flu,"Hand hygiene, avoid close contact, vaccination."
Paralysis,"Prevent pressure sores, fall precautions."
Epilepsy,"Safety precautions, avoid seizure triggers."
Nipah Virus,"Avoid contact with infected animals/humans, isolation."
Tetanus,"Wound hygiene, vaccination booster."
Otitis Media,"Avoid exposure to smoke, treat upper respiratory infections promptly."
Glossitis,"Oral hygiene, avoid irritants like spicy foods."
Leprosy,"Early diagnosis, avoid stigma, skin care."
Chikungunya,"Mosquito control, rest during acute illness."
Ulcer,"Avoid NSAIDs and smoking, stress management."
Influenza,"Hand hygiene, vaccination, avoid close contact."
Measles,"Vaccination, isolation, hygiene."
Hemophilia,"Avoid trauma, dental hygiene, bleeding precautions."
Scurvy,"Balanced diet, supplementation as needed."
Pleurisy,"Avoid deep coughing, rest."
Pyorrhea,"Oral hygiene, regular dental checkups."
Trachoma,"Hygiene, avoid eye rubbing, facial cleanliness."
Sinusitis,"Avoid allergens, nasal hygiene."
Bronchitis,"Avoid smoking, prevent infections."
Polio,"Vaccination, avoid exposure to contaminated water."
Sclerosis,"Avoid infections, stress management."
Brain Tumor,"Monitor neurological symptoms, avoid head trauma."
Encephalitis,"Avoid mosquito bites if vector-borne, rest."
CCHFV (Crimean Congo Hemorrhagic Fever),"Avoid contact with blood, vector protection."
Leukemia,"Infection prevention, monitor blood counts."
Diphtheria,"Vaccination, isolate infected patients."
Tuberculosis,"Avoid close contact, complete therapy."
Typhoid,"Hand hygiene, safe food/water."
Jaundice,"Avoid alcohol, monitor liver function."
Goiter,"Avoid goitrogens if untreated, monitor thyroid."
Rift Valley Fever,"Avoid contact with infected animals, vector control."
Allergy,"Avoid exposure, monitor triggers."
GERD,"Avoid lying down after meals, maintain healthy weight."
Chronic Cholestasis,"Monitor liver function, avoid alcohol."
Drug Reaction,"Avoid known triggers, report reactions promptly."
Peptic Ulcer,"Avoid NSAIDs, stress management."
AIDS,"Safe sex, avoid infections, medication adherence."
Gastroenteritis,"Hand hygiene, safe food/water."
Bronchial Asthma,"Avoid triggers, regular monitoring."
High Blood Pressure,"Monitor BP, maintain healthy weight, limit alcohol."
Migraine,"Avoid triggers, regular sleep, stress management."
Cervical Spondylosis,"Ergonomic posture, avoid prolonged neck strain."
Paralysis (Brain Hemorrhage,"Prevent pressure sores, fall precautions."
Hepatitis A,"Avoid contaminated water, hygiene."
Hepatitis B,"Safe sex, avoid needle sharing, vaccination."
Hepatitis C,"Avoid alcohol, safe medical practices."
Hepatitis D,"HBV vaccination prevents HDV, avoid alcohol."
Hepatitis E,"Avoid contaminated water, hygiene."
Alcoholic Hepatitis,"Complete alcohol abstinence, monitor liver function."
Common Cold,"Hand hygiene, rest"
Dimorphic Hemorrhoids (Piles),"Avoid prolonged sitting, hygiene."
Varicose Vein,"Avoid prolonged standing, elevate legs."
Hypothyroidism,"Monitor thyroid, avoid interfering meds."
Hypoglycemia,"Monitor glucose, treat early."
Osteoarthritis,"Avoid joint overuse, maintain weight."
(Vertigo) Paroxysmal Positional Vertigo,"Avoid sudden head movements, fall precautions."
Acne,"Avoid squeezing pimples, maintain skin hygiene."
Urinary Tract Infection,"Hygiene, urinate after intercourse, avoid irritants."
Psoriasis,"Avoid triggers, maintain skin hydration."
Impetigo,"Avoid scratching, isolate from others."
