Disease,Diets
Fungal Infection,"Avoid sugar, refined carbs, include probiotics and protein-rich foods."
Diabetes,"Low-GI foods, high fiber, lean protein, limit sugar and refined carbs."
Cancer,"Nutrient-rich diet, protein, fruits, vegetables, maintain calorie intake."
Dementia,"Balanced diet, omega-3 fatty acids, antioxidants."
Stroke,"High-fiber, low-salt, heart-healthy diet."
Dengue,"Hydration, soft foods, fruit juices, soups."
Dysentery,"Hydration (ORS), easily digestible foods."
Chickenpox,"Soft, nutrient-rich foods, hydrate."
Constipation,"High-fiber diet, fluids, fruits and vegetables."
Conjunctivitis,"Balanced diet, vitamin A-rich foods."
Smallpox,"Nutrient-rich diet, hydration."
Ringworm,"Avoid sugar, protein-rich diet, probiotics."
Arthritis,"Anti-inflammatory diet, omega-3s, maintain healthy weight."
Cholera,"Hydration (ORS), soft, easily digestible foods."
Pneumonia,"Hydration, light nutritious meals, avoid fatty foods."
Malaria,"Hydration, nutrient-rich foods."
Heart Attack,"Low-salt, low-fat, heart-healthy diet, fruits, vegetables."
Deafness,"Balanced diet with B vitamins, magnesium, and antioxidants."
Parkinsons,"High-fiber diet, hydration, nutrient-rich foods."
Glaucoma,"Antioxidant-rich diet, maintain hydration."
Cataract,"Nutrient-rich diet, antioxidants (vitamin C, E, carotenoids)."
Beriberi,"Whole grains, legumes, nuts, vitamin B1-rich foods."
Rickets,"Vitamin D-rich foods (fortified milk, fish), calcium-rich diet."
Rabies,"Maintain hydration, nutritious diet if symptomatic."
Swine Flu,"Hydration, nutrient-rich diet, easy-to-digest foods."
Paralysis,"High-protein, nutrient-rich diet, hydration, easy-to-chew foods if swallowing difficulty."
Epilepsy,"Maintain stable blood glucose, avoid triggers (alcohol, caffeine)."
Nipah Virus,"Hydration, easy-to-digest, nutrient-rich diet."
Tetanus,"Balanced diet with protein, hydration."
Otitis Media,"Hydration, soft diet, nutrient-rich foods."
Glossitis,"Iron, folate, vitamin B12-rich foods, soft diet."
Leprosy,"Nutrient-rich diet with protein, vitamins, and minerals."
Chikungunya,"Hydration, light, nutrient-rich foods, avoid fatty foods."
Ulcer,"Avoid spicy, acidic foods, small frequent meals, high-fiber diet."
Influenza,"Hydration, light, nutritious meals, fruits and fluids."
Measles,"Hydration, nutrient-rich foods, vitamin A supplementation."
Hemophilia,"Balanced diet, iron-rich foods to prevent anemia."
Scurvy,"Citrus fruits, vegetables rich in vitamin C."
Pleurisy,"Hydration, light, nutrient-rich diet."
Pyorrhea,"Balanced diet, avoid sugary foods, vitamin C-rich foods"
Trachoma,"Nutrient-rich diet, vitamin A-rich foods."
Sinusitis,"Hydration, warm fluids, anti-inflammatory foods."
Bronchitis,"Hydration, anti-inflammatory diet, avoid smoking."
Polio,"Nutrient-rich, high-protein diet, hydration."
Sclerosis,"Anti-inflammatory diet, vitamin D, omega-3s."
Brain Tumor,"Nutrient-rich diet, maintain hydration."
Encephalitis,"Hydration, nutrient-rich diet."
CCHFV (Crimean Congo Hemorrhagic Fever),"Hydration, soft nutrient-rich foods."
Leukemia,"High-calorie, high-protein diet, hydration."
Diphtheria,"Nutrient-rich, soft diet, hydration."
Tuberculosis,"High-protein, nutrient-rich diet, vitamin D."
Typhoid,"Hydration, soft, easily digestible foods."
Jaundice,"Low-fat diet, hydration, nutrient-rich foods."
Goiter,"Iodine-rich foods, balanced diet."
Rift Valley Fever,"Hydration, nutrient-rich foods."
Allergy,"Avoid allergen-triggering foods, anti-inflammatory diet."
GERD,"Small, frequent meals, avoid spicy, fatty foods, hydration."
Chronic Cholestasis,"Low-fat diet, fat-soluble vitamin supplementation."
Drug Reaction,"Maintain hydration, balanced diet."
Peptic Ulcer,"Avoid spicy, acidic foods, small frequent meals."
AIDS,"High-protein, nutrient-rich diet, avoid processed foods."
Gastroenteritis,"Hydration, light, digestible foods."
Bronchial Asthma,"Avoid allergens, hydration, anti-inflammatory diet."
High Blood Pressure,"DASH diet, low-sodium, fruits and vegetables."
Migraine,"Identify triggers, hydration, magnesium-rich foods."
Cervical Spondylosis,"Anti-inflammatory diet, vitamin D, calcium."
Paralysis (Brain Hemorrhage,"High-protein, nutrient-rich diet."
Hepatitis A,"Low-fat, high-protein diet, hydration."
Hepatitis B,"Nutritious, low-fat diet, hydration."
Hepatitis C,"Protein-rich, low-fat diet, avoid alcohol."
Hepatitis D,Similar to Hep B diet.
Hepatitis E,"Hydration, nutrient-rich diet."
Alcoholic Hepatitis,"Low-fat, high-protein diet, avoid alcohol."
Common Cold,"Hydration, fruits, warm fluids."
Dimorphic Hemorrhoids (Piles),"High-fiber diet, hydration."
Varicose Vein,"Maintain healthy weight, anti-inflammatory diet."
Hypothyroidism,"Iodine-rich foods, protein, fiber"
Hypoglycemia,"Small, frequent meals, complex carbs."
Osteoarthritis,"Anti-inflammatory diet, omega-3s."
(Vertigo) Paroxysmal Positional Vertigo,"Hydration, balanced diet."
Acne,"Low-glycemic diet, avoid dairy excess."
Urinary Tract Infection,"Hydration, cranberry juice, vitamin C."
Psoriasis,"Anti-inflammatory diet, omega-3s."
Impetigo,"Nutrient-rich diet, hydration."
