Disease,Workouts
Fungal Infection,Light activity; avoid excessive sweating on affected areas.
Diabetes,"Regular aerobic exercise, resistance training; monitor glucose."
Cancer,"Light aerobic exercises, yoga; avoid strenuous activity during treatment."
Dementia,"Walking, light aerobic exercises, cognitive training exercises."
Stroke,"Physical therapy, mobility exercises, range-of-motion, gradual aerobic activity."
Dengue,Rest during illness; light mobility exercises post-recovery.
Dysentery,Avoid exercise during acute phase; light walking after recovery.
Chickenpox,Rest during illness; light movement post-recovery.
Constipation,"Walking, yoga, abdominal stretches."
Conjunctivitis,Light activity; avoid strenuous exercise during acute infection.
Smallpox,Rest during illness; light mobility after recovery.
Ringworm,Light activity; avoid sweating on affected area.
Arthritis,Low-impact aerobic exercises; stretching; swimming; yoga.
Cholera,Rest during acute illness; light walking post-recovery.
Pneumonia,Breathing exercises; light aerobic activity post-recovery.
Malaria,Rest during acute illness; light mobility post-recovery.
Heart Attack,Cardiac rehabilitation; light aerobic activity; avoid strenuous activity initially.
Deafness,N/A; focus on physiotherapy and speech therapy exercises.
Parkinsons,"Balance exercises, stretching, yoga, light aerobic exercises."
Glaucoma,Low-impact aerobic exercises; avoid heavy lifting or inverted positions.
Cataract,Low-impact aerobic exercises; avoid heavy lifting.
Beriberi,Low-to-moderate aerobic exercises; gentle stretching.
Rickets,Weight-bearing exercises; gentle mobility exercises.
Rabies,Rest during illness; light activity post-recovery.
Swine Flu,Rest during acute illness; light walking post-recovery.
Paralysis,"Physical therapy, range-of-motion exercises, adaptive exercises."
Epilepsy,Light aerobic exercises; avoid high-risk activities during uncontrolled seizures.
Nipah Virus,Rest during illness; light activity post-recovery.
Tetanus,Avoid strenuous exercise until recovery; gentle stretching after stabilization.
Otitis Media,Avoid vigorous activity during acute infection; light mobility post-recovery.
Glossitis,Gentle oral and tongue exercises; avoid irritant foods.
Leprosy,Low-impact exercises; physiotherapy for nerve damage.
Chikungunya,Gentle stretching and mobility exercises post-recovery; avoid strenuous activity.
Ulcer,Light aerobic activity; avoid high-intensity workouts during flare-ups.
Influenza,Rest during illness; light walking after recovery.
Measles,Rest during acute phase; light mobility post-recovery.
Hemophilia,"Low-impact exercises; swimming, walking; avoid contact sports."
Scurvy,Light aerobic activity; gentle stretching.
Pleurisy,Breathing exercises; light activity post-recovery.
Pyorrhea,N/A; maintain oral exercises and gum massages.
Trachoma,Light activity; avoid strenuous work during acute infection.
Sinusitis,Breathing exercises; light aerobic activity.
Bronchitis,Breathing exercises; light walking; avoid strenuous activity during acute infection.
Polio,Physiotherapy; range-of-motion exercises; adaptive exercises.
Sclerosis,"Gentle aerobic, stretching, yoga; avoid overheating."
Brain Tumor,Light aerobic exercises post-recovery; avoid strenuous activity.
Encephalitis,Rest during acute illness; light aerobic post-recovery.
CCHFV (Crimean Congo Hemorrhagic Fever),Rest during illness; light mobility post-recovery
Leukemia,Light aerobic exercise; avoid high infection-risk environments.
Diphtheria,Rest during illness; light movement post-recovery.
Tuberculosis,Light aerobic exercises; avoid strenuous activity during active infectio
Typhoid,Rest during illness; light walking post-recovery.
Jaundice,Light aerobic activity; avoid strenuous exercise.
Goiter,Light aerobic activity; stretching.
Rift Valley Fever,Rest during illness; light walking post-recovery.
Allergy,Light aerobic exercises; avoid allergen exposure during activity.
GERD,Light aerobic activity; avoid exercises that increase abdominal pressure.
Chronic Cholestasis,Light aerobic activity; avoid strenuous exercise.
Drug Reaction,Light activity; avoid strenuous exercise during acute reaction
Peptic Ulcer,Light aerobic activity; avoid strenuous exercise during flare-ups.
AIDS,Moderate aerobic exercise; strength training; avoid high-risk exposure.
Gastroenteritis,Avoid exercise during acute illness; light walking post-recovery.
Bronchial Asthma,Breathing exercises; light aerobic activity.
High Blood Pressure,Aerobic exercise; resistance training; avoid uncontrolled high-intensity exercise.
Migraine,Gentle aerobic exercises; yoga; avoid strenuous activity during attacks.
Cervical Spondylosis,Neck stretches; gentle mobility; low-impact aerobics.
Paralysis (Brain Hemorrhage,Passive/active-assisted movements; range-of-motion exercises.
Hepatitis A,Rest during illness; light activity post-recovery.
Hepatitis B,Low-to-moderate aerobic activity; avoid heavy exertion.
Hepatitis C,Light aerobic exercises; resistance training as tolerated.
Hepatitis D,Light aerobic activity; avoid strenuous exercise.
Hepatitis E,Rest during illness; light walking post-recovery.
Alcoholic Hepatitis,Light aerobic activity post-recovery; avoid high-intensity workouts.
Common Cold,Avoid exercise during fever; light walking post-recovery.
Dimorphic Hemorrhoids (Piles),Pelvic floor exercises; walking; avoid heavy lifting.
Varicose Vein,Walking; swimming; cycling; avoid high-impact exercises.
Hypothyroidism,Low-to-moderate aerobic activity; yoga; resistance training.
Hypoglycemia,Moderate aerobic exercises; monitor glucose.
Osteoarthritis,Low-impact aerobic exercises; swimming; cycling.
(Vertigo) Paroxysmal Positional Vertigo,Vestibular exercises; balance training.
Acne,Light aerobic exercises; avoid heavy sweating without shower.
Urinary Tract Infection,Light aerobic exercises; avoid dehydration.
Psoriasis,Light aerobic activity; yoga; avoid high-stress exercises.
Impetigo,Light activity; avoid contact sports during active infection.
