Disease,Description
Fungal Infection,"Infection caused by fungi affecting skin, nails, or systemic organs."
Diabetes,Chronic metabolic disorder with high blood sugar.
Cancer,Malignant growth of cells affecting organ function.
Dementia,Cognitive decline affecting memory and reasoning.
Stroke,Acute neurological event due to blocked or ruptured blood vessels.
Dengue,"Viral infection causing fever, joint pain, and thrombocytopenia."
Dysentery,Inflammation of intestines causing diarrhea and pain.
Chickenpox,Viral infection causing itchy blisters.
Constipation,Difficulty in bowel movements.
Conjunctivitis,Eye inflammation due to infection or allergies.
Smallpox,"Viral infection causing fever and rash, eradicated."
Ringworm,Superficial fungal skin infection.
Arthritis,Joint inflammation causing pain and stiffness.
Cholera,Bacterial infection causing severe diarrhea and dehydration.
Pneumonia,"Lung infection causing cough, fever, breathlessness."
Malaria,Parasitic infection transmitted by mosquitoes causing fever and chills.
Heart Attack,Acute myocardial infarction due to blocked arteries.
Deafness,Partial or complete hearing loss.
Parkinsons,"Neurodegenerative disorder causing tremors, stiffness."
Glaucoma,Eye disease causing optic nerve damage due to high intraocular pressure.
Cataract,Clouding of eye lens affecting vision.
Beriberi,Vitamin B1 (thiamine) deficiency affecting nerves and heart.
Rickets,Vitamin D deficiency causing soft bones in children.
Rabies,Fatal viral infection transmitted via animal bites.
Swine Flu,"Influenza A H1N1 infection causing fever, cough."
Paralysis,Loss of muscle function due to nerve or brain injury.
Epilepsy,Neurological disorder causing recurrent seizures.
Nipah Virus,"Viral infection causing fever, encephalitis, respiratory symptoms."
Tetanus,Bacterial infection causing muscle spasms and stiffness.
Otitis Media,"Middle ear infection causing pain, fever, hearing loss."
Glossitis,"Inflammation of the tongue causing redness, swelling, and pain."
Leprosy,Chronic bacterial infection affecting skin and nerves.
Chikungunya,Viral infection causing fever and severe joint pain.
Ulcer,Open sores in stomach/duodenum due to acid or H. pylori.
Influenza,"Viral infection causing fever, cough, body aches."
Measles,"Viral infection causing rash, fever, cough, conjunctivitis."
Hemophilia,Genetic bleeding disorder due to clotting factor deficiency.
Scurvy,"Vitamin C deficiency causing bleeding gums, weakness."
Pleurisy,Inflammation of lung lining causing chest pain
Pyorrhea,"Gum disease causing bleeding, infection, and bad breath."
Trachoma,Bacterial eye infection leading to blindness if untreated.
Sinusitis,Inflammation of sinuses causing congestion and pain.
Bronchitis,Inflammation of bronchial tubes causing cough and mucus.
Polio,Viral infection causing paralysis in severe cases.
Sclerosis,Autoimmune demyelinating disease of CNS.
Brain Tumor,Abnormal growth of brain tissue affecting function.
Encephalitis,Brain inflammation due to infection.
CCHFV (Crimean Congo Hemorrhagic Fever),"Crimean-Congo Hemorrhagic Fever, viral hemorrhagic fever."
Leukemia,Cancer of blood-forming tissues.
Diphtheria,Bacterial infection affecting throat/nose.
Tuberculosis,Bacterial lung infection.
Typhoid,"Bacterial infection causing fever, abdominal pain."
Jaundice,Yellowing of skin/eyes due to liver dysfunction
Goiter,Enlargement of thyroid due to iodine deficiency.
Rift Valley Fever,"Viral infection, febrile illness."
Allergy,Immune reaction to allergens causing varied symptoms.
GERD,Acid reflux causing heartburn.
Chronic Cholestasis,Bile flow blockage causing liver dysfunction.
Drug Reaction,Adverse effect due to medication.
Peptic Ulcer,Stomach/duodenal ulcers due to acid or H. pylori.
AIDS,Advanced HIV causing immune suppression.
Gastroenteritis,Stomach and intestine inflammation causing diarrhea/vomiting.
Bronchial Asthma,Chronic airway inflammation causing wheezing.
High Blood Pressure,Chronic elevated blood pressure.
Migraine,Recurrent headaches often with nausea.
Cervical Spondylosis,Age-related degeneration of cervical spine.
Paralysis (Brain Hemorrhage,Loss of movement due to brain bleed.
Hepatitis A,Viral liver infection.
Hepatitis B,Viral liver infection.
Hepatitis C,Viral liver infection.
Hepatitis D,Viral liver infection occurring with HBV.
Hepatitis E,"Viral liver infection, often waterborne."
Alcoholic Hepatitis,Liver inflammation due to alcohol.
Common Cold,Viral upper respiratory infection.
Dimorphic Hemorrhoids (Piles),Swollen veins in rectum/anal canal.
Varicose Vein,Enlarged veins due to venous insufficiency.
Hypothyroidism,Underactive thyroid.
Hypoglycemia,Low blood glucose.
Osteoarthritis,Degenerative joint disease.
(Vertigo) Paroxysmal Positional Vertigo,Brief dizziness episodes from inner ear.
Acne,Skin condition with pimples and inflammation.
Urinary Tract Infection,Infection of urinary tract.
Psoriasis,Autoimmune skin disease causing scaling.
Impetigo,Bacterial skin infection causing sores.
